model,omics,n_modalities,drug_rep,n_pairs,n_attention_pairs,mean_only_rmse,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,params,best_epoch,fit_seconds
CrossAttention,GE+Mut_CNV,2,onehot,134764,2,2.709749937057495,1.2146509885787964,0.9207062721252441,0.8121445642260258,0.9014166224512092,0.8620209304469971,0.9226161824078453,0.8387488328664799,1.2961148023605347,0.9700897336006165,0.7702344726015566,0.8810212514619947,0.8375555916302587,0.9131999477977805,0.8367958164963156,505985,13,68.3885150319984
CrossAttention,GE+Mut_CNV,2,onehot_restricted,111799,2,2.7689719200134277,1.246595859527588,0.9423065781593323,0.8111352237071725,0.9009545979835293,0.8634296945131704,0.9227221881432317,0.8383970814569914,1.3666777610778809,1.0152751207351685,0.7553208373342408,0.8713053297746798,0.8248028031300656,0.9057498941700592,0.8302946909758055,491905,27,84.54049538100116
CrossAttention,GE+Mut_CNV,2,fingerprint,111799,2,2.7689719200134277,1.2839069366455078,0.9755323529243469,0.7996604635915052,0.8947365277117126,0.8543750356587804,0.9173758389396431,0.8290844863114513,1.394911766052246,1.0466339588165283,0.7451068242315219,0.8668476308167593,0.821662248256818,0.9030745576455461,0.8178080582638317,742017,12,61.254426862999026
CrossAttention,GE+Proteomics,2,onehot,134764,2,2.709749937057495,1.2127164602279663,0.91124427318573,0.8127424688226342,0.9021590851266889,0.8633849550576367,0.9234003596863409,0.8399253909799608,1.244232416152954,0.9335572123527527,0.7882609730247202,0.8897254470334962,0.8480253045620819,0.9191389674560989,0.8423161308785653,505985,24,95.6500942090006
CrossAttention,GE+Proteomics,2,onehot_restricted,111799,2,2.7689719200134277,1.2375688552856445,0.9337694644927979,0.8138605755027495,0.9022200638930901,0.8649934473874006,0.9240641905474171,0.8386013662151209,1.2846660614013672,0.9605529308319092,0.7838051973308375,0.8860524846430305,0.8430171180694358,0.9157442304026354,0.8385952871196523,491905,26,88.88680462699995
CrossAttention,GE+Proteomics,2,fingerprint,111799,2,2.7689719200134277,1.2730742692947388,0.9592790603637695,0.8030268202599987,0.8993940688227923,0.8599984388539689,0.9204895534329213,0.8267920660758425,1.3204561471939087,0.9891132116317749,0.7715912571560536,0.8836599889901946,0.8423644553025577,0.9145467818652708,0.8305463966085728,742017,43,181.39266713100005
CrossAttention,Mut_CNV+Proteomics,2,onehot,134764,2,2.709749937057495,1.2505359649658203,0.9405908584594727,0.8008808207409497,0.8955684326260451,0.8534221351696927,0.9186710944912452,0.8394428152492669,1.2814408540725708,0.94820636510849,0.7754076028642775,0.8827029204681897,0.839300729896648,0.9133633622875996,0.8446889155958214,505985,17,107.9736512569998
CrossAttention,Mut_CNV+Proteomics,2,onehot_restricted,111799,2,2.7689719200134277,1.2736518383026123,0.9667619466781616,0.8028480533044569,0.8960323459290552,0.8542783573876408,0.9185889491756265,0.835493862567397,1.2987358570098877,0.9692583680152893,0.779043702065076,0.8840138727027533,0.8413453077523311,0.9147899236102301,0.8394411360513055,491905,29,114.22431949900056
CrossAttention,Mut_CNV+Proteomics,2,fingerprint,111799,2,2.7689719200134277,1.326272964477539,1.007901906967163,0.7862207770528136,0.8882167891428997,0.8479071497381436,0.9147652708254035,0.8241817206224289,1.3787271976470947,1.0367043018341064,0.7509873530805975,0.8724729557146698,0.8295760595680026,0.9069561689357917,0.8171210858435528,742017,12,73.29828980499951
CrossAttention,GE+Mut_CNV+Proteomics,3,onehot,134764,6,2.709749937057495,1.2253490686416626,0.928592324256897,0.8088209389432893,0.8994370632045869,0.8581715213416032,0.9211093754535528,0.8379465341850012,1.265814185142517,0.9382531046867371,0.780851843790362,0.8849274409638841,0.8427890895685731,0.9160089522147925,0.8431986340352874,902273,18,214.83316303599895
CrossAttention,GE+Mut_CNV+Proteomics,3,onehot_restricted,111799,6,2.7689719200134277,1.2409110069274902,0.9422885775566101,0.8128538685158196,0.9020511585431172,0.8630560227291598,0.922165874079282,0.8359370462860793,1.299245834350586,0.9716405868530273,0.7788701335796677,0.8854307904308809,0.8425600537015873,0.9141492482569152,0.8384495766860566,888193,24,201.48486638299983
CrossAttention,GE+Mut_CNV+Proteomics,3,fingerprint,111799,6,2.7689719200134277,1.2864688634872437,0.9784870743751526,0.7988601032570675,0.8951804447815126,0.8547133468958124,0.9170762522802637,0.8235223305645841,1.3589102029800415,1.0262202024459839,0.758094210737423,0.8751644285476486,0.8297071495317917,0.9064192247323666,0.8165214277187537,1138305,13,154.6949240110007
