model,omics,n_modalities,drug_rep,n_pairs,n_features,mean_only_rmse,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,params,fit_seconds
RF,GE,1,onehot,134764,423,2.709749937057495,2.0374598072235353,1.6460888179883355,0.47143449121387504,0.7491011571237248,0.609896511490352,0.7739001076036995,0.6899415712975036,1.9822878669199844,1.6185774368051755,0.46255827971013075,0.734047607995355,0.5590399750328465,0.7449156816121809,0.6924869500372856,100,19.566211642999406
RF,GE,1,onehot_restricted,111799,368,2.7689719200134277,1.9891212387726962,1.6094419687805714,0.5191361447986211,0.7701537391675972,0.6464128155259682,0.7935746170461698,0.712776062692947,1.9321964078616727,1.577142644432263,0.5109342290410372,0.759597704573074,0.616125774040887,0.7755224915194714,0.6975445129756779,100,15.148909027999252
RF,GE,1,fingerprint,111799,2176,2.7689719200134277,1.385309224274662,1.0484068948785439,0.7667653467902871,0.8770620101821937,0.8373665272445334,0.9097383224083596,0.8191309419655877,1.383360424678082,1.033112406121548,0.7493109169537833,0.8682551677957102,0.82402450610231,0.9074306582102213,0.8232408759124088,100,32.04540471399923
RF,Mut_CNV,1,onehot,134764,423,2.709749937057495,2.172746808244025,1.7516971083602184,0.39891075014924826,0.7142484057583204,0.5241554040312988,0.7301596348074959,0.5138287638287639,2.1060034160392997,1.7125609518166827,0.39338090936080694,0.7021363576744437,0.45510226259496056,0.6952394653968307,0.4600258096233024,100,16.705138450999584
RF,Mut_CNV,1,onehot_restricted,111799,368,2.7689719200134277,2.163087854643641,1.7488016909881876,0.43134620416425096,0.7301252683672098,0.5538366873184308,0.745916456896915,0.5253496503496503,2.095321737357823,1.7066737482553542,0.4248698112676428,0.7198557020776759,0.49915228801076444,0.7192053528241329,0.49604494714275155,100,12.119419778999145
RF,Mut_CNV,1,fingerprint,111799,2176,2.7689719200134277,1.50470380936172,1.152113542150498,0.7248296313343221,0.8518164350094296,0.7953615283976032,0.887664187336485,0.7982832618025751,1.4709840232537112,1.1048340367834533,0.716547273364463,0.84935280254822,0.7966266621315753,0.8947234262827752,0.8122729107791683,100,30.992951870999605
RF,Proteomics,1,onehot,134764,423,2.709749937057495,2.0698095709165996,1.6788007992002822,0.45451664707426576,0.7529584871146717,0.6085090625081457,0.7723269136456001,0.6437920425509726,2.0000403203137327,1.6349297599328867,0.4528890170001427,0.7459738612695851,0.5759301331640141,0.7520315362103069,0.6435470612412659,100,19.19755346400052
RF,Proteomics,1,onehot_restricted,111799,368,2.7689719200134277,2.0166403184469273,1.635369458609177,0.5057388033899796,0.7753810622625984,0.6644384235295147,0.802251599278343,0.6680878552971576,1.9497302927324591,1.5916527337077757,0.5020178153768264,0.769181196944604,0.6447562958310942,0.7895844470351674,0.6800765101499352,100,14.56628525800079
RF,Proteomics,1,fingerprint,111799,2176,2.7689719200134277,1.4362032324116363,1.0886247729458802,0.7493132243325573,0.8667271676818802,0.8223123060069164,0.9022568438008607,0.8106577274303549,1.402728608174266,1.0470243564264277,0.7422420695078813,0.8643105052421773,0.8214640172113078,0.9066722315011864,0.8236796285548462,100,31.086992217000443
RF,GE+Mut_CNV,2,onehot,134764,551,2.709749937057495,2.170992457734915,1.7449821612246654,0.39988103854101065,0.7343736049466869,0.590514408349534,0.764107934170553,0.6380745374542756,2.1059630333594335,1.7103192827479443,0.3934041730169693,0.7145349951424187,0.5260134767000417,0.7292593204219622,0.6464831804281346,100,19.66058211699965
RF,GE+Mut_CNV,2,onehot_restricted,111799,496,2.7689719200134277,2.161884993727811,1.7432332223933709,0.43197846811959795,0.7481241876367494,0.6145827598694023,0.7775308734471296,0.6402575220076205,2.0944988824117265,1.705810231141507,0.4253214419524486,0.7333136748851214,0.558020461269385,0.7448428609111912,0.5919923736892279,100,14.536019447001308
RF,GE+Mut_CNV,2,fingerprint,111799,2304,2.7689719200134277,1.4047445208671967,1.0684151320986512,0.7601750743804645,0.8736017398133848,0.8326008417928747,0.9070939458543186,0.8176224750406316,1.3973064870278706,1.0486085292241123,0.7442308983934564,0.8654758969033167,0.8205683346265222,0.9053062366285114,0.8223787622984223,100,33.10183835600037
RF,GE+Proteomics,2,onehot,134764,551,2.709749937057495,2.1684028669109483,1.747053474921174,0.4013118456323369,0.7365604852161798,0.5834192844622454,0.7614545641959796,0.6306100161214832,2.1092598884247655,1.712530035168471,0.39150345218941385,0.7213221440022833,0.5405339431320588,0.7352848703990664,0.6283640134819808,100,18.70745557200098
RF,GE+Proteomics,2,onehot_restricted,111799,496,2.7689719200134277,2.1342780742565255,1.7271406525524977,0.4463929265685004,0.7601421598966268,0.6361161771606909,0.7864770120670843,0.6473385888331488,2.0772137314232992,1.6919833573322065,0.4347675364858561,0.7418894428144075,0.5905405567458637,0.7612296407390096,0.6487786356157449,100,14.494175585999983
RF,GE+Proteomics,2,fingerprint,111799,2304,2.7689719200134277,1.3749694249078968,1.04473535413485,0.7702340301968141,0.8795642837284671,0.8404572697807674,0.9112069827071234,0.8200841711480009,1.3711704472393809,1.0290126308224041,0.7537095250923634,0.8710254309614274,0.8280384801402679,0.909459694339161,0.8275176807528202,100,32.38221322699974
RF,Mut_CNV+Proteomics,2,onehot,134764,551,2.709749937057495,2.2365427011658445,1.7931917748256092,0.36309433995808527,0.7237666741093718,0.5525060607588569,0.7461370373076165,0.5731196605058909,2.1527141290566774,1.7451635440979456,0.3661731195018797,0.7243267141165314,0.5479256661740803,0.737064940923168,0.4967385850476668,100,17.606957566000347
