config,config_label,seed,model,omics,n_modalities,drug_rep,n_pairs,n_features,mean_only_rmse,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,params,best_epoch,fit_seconds,n_attention_pairs,n_tokens
E04,MLP | Proteomics | fingerprint,42,MLP,Proteomics,1,fingerprint,111799,2176.0,2.7689719200134277,1.3479548692703247,1.0344260931015015,0.7791739759490792,0.8828544999607225,0.8388075630892872,0.9096466971214663,0.8270667979838944,1.315479040145874,0.9974202513694763,0.7733098647186805,0.8815153377146,0.8382288761225306,0.9117627958122098,0.828798514822765,1280769,6,34.68031068099998,,
E10,CrossAttention | GE+Proteomics | fingerprint,42,CrossAttention,GE+Proteomics,2,fingerprint,111799,,2.7689719200134277,1.244951605796814,0.9429168701171875,0.8116331203871623,0.9018534593583426,0.8646840151445478,0.9230940007077431,0.8356785398881366,1.2997052669525146,0.9743095636367798,0.7787137335456347,0.8854479614517522,0.8435225688387125,0.9152257513190866,0.8350227193289059,742017,32,158.41146217899995,2.0,
MG,CrossAttention | GE+Proteomics | molecular_graph,42,CrossAttention,GE+Proteomics,2,molecular_graph,111799,,2.7689719200134277,1.2800586223602295,0.9658939242362976,0.8008596325643453,0.895392697424484,0.855202806601731,0.9186982680365753,0.8298207717905307,1.3044496774673462,0.9793460369110107,0.7770952347671776,0.8834445038065515,0.8399873564436192,0.9143465346008504,0.8357179796586796,501377,55,296.89537871699997,2.0,1.0
E04,MLP | Proteomics | fingerprint,43,MLP,Proteomics,1,fingerprint,111799,2176.0,2.7689719200134277,1.3522255420684814,1.0280272960662842,0.7777724634890979,0.8827713295197536,0.8382113361269965,0.9112475341044477,0.8244123807307424,1.3256744146347046,0.997361421585083,0.7697824164671278,0.881403497041795,0.8396513902025657,0.9123151028823056,0.8319308357348704,1280769,10,40.14710678900008,,
E10,CrossAttention | GE+Proteomics | fingerprint,43,CrossAttention,GE+Proteomics,2,fingerprint,111799,,2.7689719200134277,1.2661669254302979,0.960269033908844,0.8051584817896045,0.8986580804894829,0.8603066162475836,0.9218503598585317,0.8323651452282158,1.3086533546447754,0.9866593480110168,0.7756562450621711,0.8847118793790556,0.8429944133982555,0.914742351016657,0.8303886925795053,742017,23,129.100240718,2.0,
MG,CrossAttention | GE+Proteomics | molecular_graph,43,CrossAttention,GE+Proteomics,2,molecular_graph,111799,,2.7689719200134277,1.2820210456848145,0.9667651057243347,0.8002485686838987,0.8956244389167681,0.8558586212892364,0.9187789025702843,0.8302440168934773,1.3049229383468628,0.9798603057861328,0.7769334259112953,0.8835844840239087,0.839840245603063,0.9140822989474218,0.8350141185962081,501377,54,293.79365732600013,2.0,1.0
E04,MLP | Proteomics | fingerprint,44,MLP,Proteomics,1,fingerprint,111799,2176.0,2.7689719200134277,1.3629051446914673,1.0376595258712769,0.7742483853866995,0.8801233102738028,0.8397580202999835,0.9114504382587918,0.8281741717686102,1.3630142211914062,1.0290939807891846,0.7566308509474554,0.8745943925329377,0.8313606753661199,0.9080479429983659,0.8264682127610476,1280769,3,29.185868347999985,,
E10,CrossAttention | GE+Proteomics | fingerprint,44,CrossAttention,GE+Proteomics,2,fingerprint,111799,,2.7689719200134277,1.2846513986587524,0.9760483503341675,0.7994280556296567,0.8971203260973717,0.858854962802439,0.9205885103482322,0.8242307460709339,1.3202649354934692,1.0022964477539062,0.7716574088704679,0.8846077627741196,0.8422774639819788,0.914821469073348,0.8237964400907897,742017,19,115.00696394700003,2.0,
MG,CrossAttention | GE+Proteomics | molecular_graph,44,CrossAttention,GE+Proteomics,2,molecular_graph,111799,,2.7689719200134277,1.269792914390564,0.961853563785553,0.8040409207427963,0.8969511930678437,0.8584306602149251,0.9197622371634625,0.8343343635197388,1.3261772394180298,1.003899335861206,0.7696077540626938,0.8782714851312161,0.8322876904897518,0.9106068213615474,0.8322402485329652,501377,43,244.97265686900005,2.0,1.0
E04,MLP | Proteomics | fingerprint,45,MLP,Proteomics,1,fingerprint,111799,2176.0,2.7689719200134277,1.3377736806869507,1.0188379287719727,0.7824971986499046,0.8848374427111811,0.8410764461955842,0.9121850995355522,0.8294732061762035,1.2878062725067139,0.9696225523948669,0.7827469978000072,0.8849459295924378,0.8425922420380044,0.9139601238775639,0.8393538254431232,1280769,9,38.89548333500011,,
E10,CrossAttention | GE+Proteomics | fingerprint,45,CrossAttention,GE+Proteomics,2,fingerprint,111799,,2.7689719200134277,1.2722666263580322,0.9657835364341736,0.8032766927781891,0.898451072670909,0.8604949487282717,0.9210250298850822,0.8305426908918181,1.299911379814148,0.9770501852035522,0.7786435404081533,0.8863830813975373,0.8432372611418895,0.9150889059128862,0.8325163398692811,742017,36,173.74365223600012,2.0,
MG,CrossAttention | GE+Proteomics | molecular_graph,45,CrossAttention,GE+Proteomics,2,molecular_graph,111799,,2.7689719200134277,1.271285891532898,0.9620527029037476,0.803579863490262,0.8968813521172587,0.8584856520843324,0.9206674591425607,0.8337113941720468,1.3208439350128174,0.9947945475578308,0.7714570849488896,0.880234778203702,0.8352903035031197,0.9124489944346565,0.8317638952687184,501377,42,238.82184730900008,2.0,1.0
